Percent,State,County
15.5,OH,Harrison County
9.4,OH,Henry County
17.9,OH,Highland County
15.7,OH,Hocking County
10.8,OH,Holmes County
13.1,OH,Huron County
20.4,OH,Jackson County
17.8,OH,Jefferson County
14.8,OH,Knox County
8.3,OH,Lake County
21.0,OH,Lawrence County
12.6,OH,Licking County
10.9,OH,Logan County
13.5,OH,Lorain County
19.5,OH,Lucas County
9.3,OH,Madison County
16.8,OH,Mahoning County
18.2,OH,Marion County
7.0,OH,Medina County
22.8,OH,Meigs County
7.8,OH,Mercer County
10.7,OH,Miami County
18.3,OH,Monroe County
17.7,OH,Montgomery County
19.0,OH,Morgan County
11.3,OH,Morrow County
16.5,OH,Muskingum County
15.0,OH,Noble County
9.7,OH,Ottawa County
10.9,OH,Paulding County
18.8,OH,Perry County
12.4,OH,Pickaway County
21.4,OH,Pike County
13.6,OH,Portage County
12.7,OH,Preble County
7.2,OH,Putnam County
15.1,OH,Richland County
17.8,OH,Ross County
12.2,OH,Sandusky County
23.0,OH,Scioto County
13.6,OH,Seneca County
8.9,OH,Shelby County
13.4,OH,Stark County
14.4,OH,Summit County
17.6,OH,Trumbull County
13.0,OH,Tuscarawas County
7.6,OH,Union County
11.2,OH,Van Wert County
18.9,OH,Vinton County
5.2,OH,Warren County
15.0,OH,Washington County
11.3,OH,Wayne County
12.0,OH,Williams County
11.7,OH,Wood County
8.8,OH,Wyandot County
16.0,OK,Oklahoma
28.4,OK,Adair County
14.6,OK,Alfalfa County
23.0,OK,Atoka County
11.1,OK,Beaver County
13.9,OK,Beckham County
16.3,OK,Blaine County
18.1,OK,Bryan County
21.3,OK,Caddo County
9.8,OK,Canadian County
16.3,OK,Carter County
21.5,OK,Cherokee County
29.9,OK,Choctaw County
17.0,OK,Cimarron County
11.5,OK,Cleveland County
19.4,OK,Coal County
15.1,OK,Comanche County
16.8,OK,Cotton County
18.2,OK,Craig County
15.7,OK,Creek County
17.9,OK,Custer County
20.5,OK,Delaware County
13.1,OK,Dewey County
11.9,OK,Ellis County
14.5,OK,Garfield County
14.2,OK,Garvin County
13.1,OK,Grady County
11.4,OK,Grant County
23.7,OK,Greer County
23.6,OK,Harmon County
9.8,OK,Harper County
18.1,OK,Haskell County
20.1,OK,Hughes County
17.2,OK,Jackson County
19.9,OK,Jefferson County
21.4,OK,Johnston County
18.7,OK,Kay County
10.6,OK,Kingfisher County
21.1,OK,Kiowa County
19.4,OK,Latimer County
19.3,OK,Le Flore County
14.7,OK,Lincoln County
13.1,OK,Logan County
12.4,OK,Love County
10.7,OK,McClain County
25.3,OK,McCurtain County
21.3,OK,McIntosh County
10.8,OK,Major County
17.1,OK,Marshall County
18.5,OK,Mayes County
14.4,OK,Murray County
21.1,OK,Muskogee County
11.8,OK,Noble County
16.4,OK,Nowata County
23.9,OK,Okfuskee County
16.2,OK,Oklahoma County
22.5,OK,Okmulgee County
16.3,OK,Osage County
23.0,OK,Ottawa County
16.0,OK,Pawnee County
22.7,OK,Payne County
17.0,OK,Pittsburg County
15.4,OK,Pontotoc County
17.0,OK,Pottawatomie County
21.1,OK,Pushmataha County
10.8,OK,Roger Mills County
10.0,OK,Rogers County
20.7,OK,Seminole County
24.4,OK,Sequoyah County
15.6,OK,Stephens County
11.4,OK,Texas County
23.1,OK,Tillman County
15.9,OK,Tulsa County
10.2,OK,Wagoner County
13.5,OK,Washington County
15.8,OK,Washita County
13.8,OK,Woods County
11.8,OK,Woodward County
15.2,OR,Oregon
15.3,OR,Baker County
18.3,OR,Benton County
9.4,OR,Clackamas County
13.9,OR,Clatsop County
13.4,OR,Columbia County
18.7,OR,Coos County
15.9,OR,Crook County
17.2,OR,Curry County
13.4,OR,Deschutes County
19.5,OR,Douglas County
12.9,OR,Gilliam County
16.4,OR,Grant County
16.3,OR,Harney County
11.5,OR,Hood River County
19.3,OR,Jackson County
21.9,OR,Jefferson County
21.9,OR,Josephine County
19.9,OR,Klamath County
18.6,OR,Lake County
19.0,OR,Lane County
17.0,OR,Lincoln County
15.8,OR,Linn County
24.9,OR,Malheur County
16.8,OR,Marion County
15.0,OR,Morrow County
15.7,OR,Multnomah County
13.7,OR,Polk County
16.3,OR,Sherman County
15.5,OR,Tillamook County
19.2,OR,Umatilla County
16.5,OR,Union County
16.1,OR,Wallowa County
16.0,OR,Wasco County
10.5,OR,Washington County
21.4,OR,Wheeler County
13.3,OR,Yamhill County
13.1,PA,Pennsylvania
8.5,PA,Adams County
12.2,PA,Allegheny County
12.6,PA,Armstrong County
13.1,PA,Beaver County
13.9,PA,Bedford County
12.6,PA,Berks County
15.3,PA,Blair County
13.0,PA,Bradford County
6.3,PA,Bucks County
9.5,PA,Butler County
14.9,PA,Cambria County
13.3,PA,Cameron County
11.5,PA,Carbon County
16.1,PA,Centre County
6.0,PA,Chester County
17.4,PA,Clarion County
16.6,PA,Clearfield County
16.0,PA,Clinton County
15.0,PA,Columbia County
15.3,PA,Crawford County
7.3,PA,Cumberland County
13.6,PA,Dauphin County
10.4,PA,Delaware County
9.3,PA,Elk County
17.1,PA,Erie County
20.1,PA,Fayette County
24.3,PA,Forest County
9.4,PA,Franklin County
11.6,PA,Fulton County
15.1,PA,Greene County
14.3,PA,Huntingdon County
18.2,PA,Indiana County
14.6,PA,Jefferson County
12.8,PA,Juniata County
15.3,PA,Lackawanna County
10.6,PA,Lancaster County
17.5,PA,Lawrence County
11.6,PA,Lebanon County
12.1,PA,Lehigh County
15.1,PA,Luzerne County
14.8,PA,Lycoming County
16.9,PA,Mc Kean County
14.2,PA,Mercer County
15.4,PA,Mifflin County
12.7,PA,Monroe County
6.6,PA,Montgomery County
9.0,PA,Montour County
8.8,PA,Northampton County
13.1,PA,Northumberland County
9.6,PA,Perry County
25.4,PA,Philadelphia County
10.9,PA,Pike County
14.3,PA,Potter County
13.0,PA,Schuylkill County
11.7,PA,Snyder County
14.4,PA,Somerset County
13.5,PA,Sullivan County
12.6,PA,Susquehanna County
13.1,PA,Tioga County
12.4,PA,Union County
13.5,PA,Venango County
12.2,PA,Warren County
10.1,PA,Washington County
13.3,PA,Wayne County
11.3,PA,Westmoreland County
11.1,PA,Wyoming County
10.4,PA,York County
14.1,RI,Rhode Island
9.3,RI,Bristol County
8.7,RI,Kent County
11.1,RI,Newport County
17.2,RI,Providence County
9.9,RI,Washington County
16.8,SC,South Carolina
19.1,SC,Abbeville County
18.1,SC,Aiken County
41.0,SC,Allendale County
17.2,SC,Anderson County
32.7,SC,Bamberg County
27.3,SC,Barnwell County
12.9,SC,Beaufort County
13.0,SC,Berkeley County
21.3,SC,Calhoun County
14.9,SC,Charleston County
20.3,SC,Cherokee County
25.7,SC,Chester County
23.5,SC,Chesterfield County
25.4,SC,Clarendon County
23.1,SC,Colleton County
21.5,SC,Darlington County
31.2,SC,Dillon County
13.6,SC,Dorchester County
18.9,SC,Edgefield County
23.0,SC,Fairfield County
20.3,SC,Florence County
19.3,SC,Georgetown County
13.8,SC,Greenville County
19.1,SC,Greenwood County
23.6,SC,Hampton County
16.7,SC,Horry County
23.2,SC,Jasper County
15.5,SC,Kershaw County
14.4,SC,Lancaster County
18.9,SC,Laurens County
28.3,SC,Lee County
13.2,SC,Lexington County
19.2,SC,McCormick County
24.4,SC,Marion County
28.2,SC,Marlboro County
19.1,SC,Newberry County
18.0,SC,Oconee County
24.0,SC,Orangeburg County
18.1,SC,Pickens County
15.8,SC,Richland County
18.3,SC,Saluda County
15.0,SC,Spartanburg County
19.6,SC,Sumter County
23.2,SC,Union County
33.6,SC,Williamsburg County
12.5,SC,York County
13.5,SD,South Dakota
9.6,SD,Aurora County
15.5,SD,Beadle County
35.1,SD,Bennett County
14.6,SD,Bon Homme County
14.5,SD,Brookings County
10.2,SD,Brown County
12.7,SD,Brule County
36.8,SD,Buffalo County
13.9,SD,Butte County
9.5,SD,Campbell County
23.3,SD,Charles Mix County
12.6,SD,Clark County
19.0,SD,Clay County
10.8,SD,Codington County
47.4,SD,Corson County
10.7,SD,Custer County
13.4,SD,Davison County
14.2,SD,Day County
10.0,SD,Deuel County
24.7,SD,Dewey County
10.4,SD,Douglas County
10.7,SD,Edmunds County
14.6,SD,Fall River County
12.9,SD,Faulk County
9.2,SD,Grant County
18.1,SD,Gregory County
10.8,SD,Haakon County
9.0,SD,Hamlin County
8.5,SD,Hand County
8.7,SD,Hanson County
10.2,SD,Harding County
10.8,SD,Hughes County
12.3,SD,Hutchinson County
11.1,SD,Hyde County
32.5,SD,Jackson County
13.7,SD,Jerauld County
13.5,SD,Jones County
9.5,SD,Kingsbury County
10.1,SD,Lake County
12.9,SD,Lawrence County
4.3,SD,Lincoln County
22.7,SD,Lyman County
9.5,SD,McCook County
15.7,SD,McPherson County
12.3,SD,Marshall County
9.9,SD,Meade County
35.6,SD,Mellette County
10.8,SD,Miner County
12.2,SD,Minnehaha County
10.7,SD,Moody County
44.2,SD,Oglala Lakota County
12.2,SD,Pennington County
13.1,SD,Perkins County
10.0,SD,Potter County
20.0,SD,Roberts County
11.9,SD,Sanborn County
12.1,SD,Spink County
8.3,SD,Stanley County
6.9,SD,Sully County
44.0,SD,Todd County
17.7,SD,Tripp County
10.0,SD,Turner County
6.3,SD,Union County
14.8,SD,Walworth County
13.6,SD,Yankton County
47.1,SD,Ziebach County
16.7,TN,Tennessee
19.7,TN,Anderson County
17.0,TN,Bedford County
20.5,TN,Benton County
26.1,TN,Bledsoe County
13.1,TN,Blount County
18.1,TN,Bradley County
26.2,TN,Campbell County
16.4,TN,Cannon County
21.1,TN,Carroll County
23.6,TN,Carter County
10.6,TN,Cheatham County
19.0,TN,Chester County
21.6,TN,Claiborne County
23.7,TN,Clay County
26.4,TN,Cocke County
15.9,TN,Coffee County
19.1,TN,Crockett County
16.7,TN,Cumberland County
17.1,TN,Davidson County
19.4,TN,Decatur County
20.2,TN,DeKalb County
16.4,TN,Dickson County
22.5,TN,Dyer County
13.8,TN,Fayette County
25.7,TN,Fentress County
15.0,TN,Franklin County
15.7,TN,Gibson County
16.1,TN,Giles County
18.7,TN,Grainger County
18.0,TN,Greene County
26.1,TN,Grundy County
19.0,TN,Hamblen County
15.2,TN,Hamilton County
30.1,TN,Hancock County
24.2,TN,Hardeman County
22.7,TN,Hardin County
21.2,TN,Hawkins County
22.5,TN,Haywood County
17.5,TN,Henderson County
19.1,TN,Henry County
20.4,TN,Hickman County
19.5,TN,Houston County
15.9,TN,Humphreys County
23.6,TN,Jackson County
16.8,TN,Jefferson County
27.2,TN,Johnson County
15.6,TN,Knox County
43.1,TN,Lake County
26.2,TN,Lauderdale County
18.9,TN,Lawrence County
17.9,TN,Lewis County
16.0,TN,Lincoln County
13.5,TN,Loudon County
23.0,TN,McMinn County
18.9,TN,McNairy County
18.5,TN,Macon County
18.1,TN,Madison County
19.0,TN,Marion County
13.8,TN,Marshall County
13.2,TN,Maury County
20.2,TN,Meigs County
18.6,TN,Monroe County
13.4,TN,Montgomery County
11.8,TN,Moore County
21.2,TN,Morgan County
19.5,TN,Obion County
17.5,TN,Overton County
22.3,TN,Perry County
18.9,TN,Pickett County
18.4,TN,Polk County
19.7,TN,Putnam County
23.3,TN,Rhea County
17.6,TN,Roane County
12.3,TN,Robertson County
11.1,TN,Rutherford County
25.5,TN,Scott County
18.7,TN,Sequatchie County
14.6,TN,Sevier County
20.2,TN,Shelby County
18.1,TN,Smith County
15.5,TN,Stewart County
16.4,TN,Sullivan County
10.1,TN,Sumner County
14.4,TN,Tipton County
16.2,TN,Trousdale County
19.2,TN,Unicoi County
23.9,TN,Union County
18.9,TN,Van Buren County
21.2,TN,Warren County
17.2,TN,Washington County
25.4,TN,Wayne County
18.2,TN,Weakley County
18.2,TN,White County
5.0,TN,Williamson County
8.4,TN,Wilson County
15.9,TX,Texas
21.0,TX,Anderson County
10.4,TX,Andrews County
17.9,TX,Angelina County
18.2,TX,Aransas County
9.5,TX,Archer County
10.4,TX,Armstrong County
20.4,TX,Atascosa County
12.7,TX,Austin County
15.8,TX,Bailey County
13.3,TX,Bandera County
12.7,TX,Bastrop County
17.4,TX,Baylor County
23.4,TX,Bee County
15.9,TX,Bell County
15.6,TX,Bexar County
10.9,TX,Blanco County
10.2,TX,Borden County
15.0,TX,Bosque County
18.6,TX,Bowie County
10.6,TX,Brazoria County
24.0,TX,Brazos County
14.8,TX,Brewster County
16.6,TX,Briscoe County
31.7,TX,Brooks County
18.2,TX,Brown County
15.5,TX,Burleson County
13.2,TX,Burnet County
17.8,TX,Caldwell County
16.8,TX,Calhoun County
13.0,TX,Callahan County
32.0,TX,Cameron County
18.8,TX,Camp County
8.5,TX,Carson County
20.0,TX,Cass County
18.8,TX,Castro County
9.6,TX,Chambers County
19.0,TX,Cherokee County
22.3,TX,Childress County
12.3,TX,Clay County
22.5,TX,Cochran County
13.5,TX,Coke County
20.0,TX,Coleman County
6.6,TX,Collin County
19.0,TX,Collingsworth County
14.5,TX,Colorado County
8.3,TX,Comal County
16.8,TX,Comanche County
26.4,TX,Concho County
13.2,TX,Cooke County
16.0,TX,Coryell County
21.4,TX,Cottle County
9.6,TX,Crane County
12.9,TX,Crockett County
22.8,TX,Crosby County
23.9,TX,Culberson County
12.0,TX,Dallam County
17.9,TX,Dallas County
21.9,TX,Dawson County
19.4,TX,Deaf Smith County
18.5,TX,Delta County
8.0,TX,Denton County
19.2,TX,DeWitt County
22.2,TX,Dickens County
24.4,TX,Dimmit County
20.2,TX,Donley County
25.4,TX,Duval County
18.1,TX,Eastland County
12.6,TX,Ector County
22.2,TX,Edwards County
10.9,TX,Ellis County
20.3,TX,El Paso County
17.7,TX,Erath County
23.9,TX,Falls County
16.4,TX,Fannin County
12.0,TX,Fayette County
15.2,TX,Fisher County
21.8,TX,Floyd County
17.8,TX,Foard County
7.0,TX,Fort Bend County
16.4,TX,Franklin County
15.8,TX,Freestone County
29.3,TX,Frio County
13.3,TX,Gaines County
14.0,TX,Galveston County
26.8,TX,Garza County
10.4,TX,Gillespie County
7.8,TX,Glasscock County
14.1,TX,Goliad County
16.4,TX,Gonzales County
13.0,TX,Gray County
15.2,TX,Grayson County
17.0,TX,Gregg County
17.8,TX,Grimes County
10.3,TX,Guadalupe County
20.3,TX,Hale County
25.5,TX,Hall County
15.4,TX,Hamilton County
11.7,TX,Hansford County
18.0,TX,Hardeman County
11.8,TX,Hardin County
16.6,TX,Harris County
18.5,TX,Harrison County
9.9,TX,Hartley County
22.3,TX,Haskell County
13.6,TX,Hays County
8.6,TX,Hemphill County
16.2,TX,Henderson County
31.1,TX,Hidalgo County
17.8,TX,Hill County
15.9,TX,Hockley County
9.8,TX,Hood County
15.9,TX,Hopkins County
27.0,TX,Houston County
19.1,TX,Howard County
25.0,TX,Hudspeth County
16.5,TX,Hunt County
14.2,TX,Hutchinson County
7.9,TX,Irion County
17.1,TX,Jack County
13.6,TX,Jackson County
15.7,TX,Jasper County
13.3,TX,Jeff Davis County
16.9,TX,Jefferson County
23.2,TX,Jim Hogg County
22.1,TX,Jim Wells County
11.4,TX,Johnson County
21.4,TX,Jones County
20.0,TX,Karnes County
13.1,TX,Kaufman County
8.0,TX,Kendall County
16.5,TX,Kenedy County
11.3,TX,Kent County
14.3,TX,Kerr County
20.0,TX,Kimble County
11.0,TX,King County
20.6,TX,Kinney County
24.3,TX,Kleberg County
19.2,TX,Knox County
18.8,TX,Lamar County
21.8,TX,Lamb County
13.9,TX,Lampasas County
27.9,TX,La Salle County
12.2,TX,Lavaca County
12.4,TX,Lee County
13.8,TX,Leon County
15.8,TX,Liberty County
19.1,TX,Limestone County
9.7,TX,Lipscomb County
15.8,TX,Live Oak County
14.8,TX,Llano County
14.3,TX,Loving County
20.1,TX,Lubbock County
20.5,TX,Lynn County
18.6,TX,McCulloch County
19.9,TX,McLennan County
10.0,TX,McMullen County
19.2,TX,Madison County
23.4,TX,Marion County
11.4,TX,Martin County
13.8,TX,Mason County
20.5,TX,Matagorda County
23.9,TX,Maverick County
14.8,TX,Medina County
20.8,TX,Menard County
8.9,TX,Midland County
16.9,TX,Milam County
16.6,TX,Mills County
19.7,TX,Mitchell County
15.2,TX,Montague County
10.1,TX,Montgomery County
14.4,TX,Moore County
19.5,TX,Morris County
17.0,TX,Motley County
24.5,TX,Nacogdoches County
19.6,TX,Navarro County
21.2,TX,Newton County
20.0,TX,Nolan County
19.9,TX,Nueces County
8.8,TX,Ochiltree County
13.4,TX,Oldham County
16.1,TX,Orange County
18.6,TX,Palo Pinto County
15.1,TX,Panola County
9.4,TX,Parker County
14.5,TX,Parmer County
18.1,TX,Pecos County
17.2,TX,Polk County
22.4,TX,Potter County
22.4,TX,Presidio County
14.4,TX,Rains County
8.5,TX,Randall County
8.8,TX,Reagan County
19.4,TX,Real County
20.2,TX,Red River County
19.3,TX,Reeves County
15.4,TX,Refugio County
6.7,TX,Roberts County
16.6,TX,Robertson County
6.0,TX,Rockwall County
18.5,TX,Runnels County
16.6,TX,Rusk County
19.7,TX,Sabine County
24.3,TX,San Augustine County
18.1,TX,San Jacinto County
15.5,TX,San Patricio County
18.9,TX,San Saba County
13.4,TX,Schleicher County
12.7,TX,Scurry County
13.1,TX,Shackelford County
19.8,TX,Shelby County
12.8,TX,Sherman County
16.0,TX,Smith County
12.1,TX,Somervell County
30.9,TX,Starr County
18.2,TX,Stephens County
11.6,TX,Sterling County
14.5,TX,Stonewall County
12.5,TX,Sutton County
21.6,TX,Swisher County
13.1,TX,Tarrant County
14.8,TX,Taylor County
16.7,TX,Terrell County
22.5,TX,Terry County
13.6,TX,Throckmorton County
20.1,TX,Titus County
15.6,TX,Tom Green County
13.2,TX,Travis County
19.5,TX,Trinity County
19.9,TX,Tyler County
15.5,TX,Upshur County
13.5,TX,Upton County
20.7,TX,Uvalde County
22.1,TX,Val Verde County
15.9,TX,Van Zandt County
13.6,TX,Victoria County
22.7,TX,Walker County
16.0,TX,Waller County
12.8,TX,Ward County
14.5,TX,Washington County
30.5,TX,Webb County
17.2,TX,Wharton County
12.9,TX,Wheeler County
18.9,TX,Wichita County
16.5,TX,Wilbarger County
35.4,TX,Willacy County
6.6,TX,Williamson County
9.4,TX,Wilson County
13.3,TX,Winkler County
12.1,TX,Wise County
16.6,TX,Wood County
11.1,TX,Yoakum County
15.0,TX,Young County
30.9,TX,Zapata County
32.0,TX,Zavala County
11.2,UT,Utah
11.2,UT,Beaver County
8.4,UT,Box Elder County
16.0,UT,Cache County
16.3,UT,Carbon County
8.0,UT,Daggett County
6.9,UT,Davis County
11.0,UT,Duchesne County
10.4,UT,Emery County
11.2,UT,Garfield County
13.0,UT,Grand County
18.3,UT,Iron County
10.5,UT,Juab County
11.3,UT,Kane County
13.1,UT,Millard County
4.8,UT,Morgan County
17.3,UT,Piute County
9.1,UT,Rich County
10.8,UT,Salt Lake County
28.5,UT,San Juan County
17.2,UT,Sanpete County
14.0,UT,Sevier County
6.2,UT,Summit County
7.2,UT,Tooele County
9.9,UT,Uintah County
12.5,UT,Utah County
6.9,UT,Wasatch County
13.2,UT,Washington County
15.0,UT,Wayne County
12.4,UT,Weber County
10.4,VT,Vermont
8.9,VT,Addison County
11.8,VT,Bennington County
11.5,VT,Caledonia County
10.4,VT,Chittenden County
14.3,VT,Essex County
8.1,VT,Franklin County
8.3,VT,Grand Isle County
10.2,VT,Lamoille County
9.8,VT,Orange County
13.3,VT,Orleans County
11.4,VT,Rutland County
9.3,VT,Washington County
13.2,VT,Windham County
9.1,VT,Windsor County
11.2,VA,Virginia
20.4,VA,Accomack County
9.5,VA,Albemarle County
18.2,VA,Alleghany County
11.1,VA,Amelia County
15.0,VA,Amherst County
14.2,VA,Appomattox County
7.1,VA,Arlington County
9.3,VA,Augusta County
10.3,VA,Bath County
9.1,VA,Bedford County
13.6,VA,Bland County
7.4,VA,Botetourt County
22.1,VA,Brunswick County
28.8,VA,Buchanan County
20.2,VA,Buckingham County
11.7,VA,Campbell County
12.0,VA,Caroline County
15.0,VA,Carroll County
11.6,VA,Charles City County
19.2,VA,Charlotte County
6.9,VA,Chesterfield County
8.4,VA,Clarke County
11.9,VA,Craig County
10.2,VA,Culpeper County
19.6,VA,Cumberland County
25.0,VA,Dickenson County
12.4,VA,Dinwiddie County
15.5,VA,Essex County
6.2,VA,Fairfax County
6.8,VA,Fauquier County
11.9,VA,Floyd County
7.8,VA,Fluvanna County
13.1,VA,Franklin County
7.7,VA,Frederick County
10.6,VA,Giles County
9.3,VA,Gloucester County
7.4,VA,Goochland County
20.1,VA,Grayson County
9.3,VA,Greene County
27.9,VA,Greensville County
16.9,VA,Halifax County
6.2,VA,Hanover County
9.3,VA,Henrico County
19.6,VA,Henry County
13.8,VA,Highland County
9.9,VA,Isle of Wight County
7.1,VA,James City County
14.0,VA,King and Queen County
7.1,VA,King George County
7.9,VA,King William County
13.1,VA,Lancaster County
25.9,VA,Lee County
3.7,VA,Loudoun County
10.6,VA,Louisa County
21.1,VA,Lunenburg County
10.4,VA,Madison County
10.2,VA,Mathews County
20.4,VA,Mecklenburg County
12.8,VA,Middlesex County
20.8,VA,Montgomery County
13.9,VA,Nelson County
6.7,VA,New Kent County
20.5,VA,Northampton County
13.7,VA,Northumberland County
23.7,VA,Nottoway County
10.4,VA,Orange County
15.0,VA,Page County
17.0,VA,Patrick County
17.1,VA,Pittsylvania County
6.4,VA,Powhatan County
22.3,VA,Prince Edward County
9.9,VA,Prince George County
6.7,VA,Prince William County
15.0,VA,Pulaski County
9.8,VA,Rappahannock County
17.7,VA,Richmond County
7.3,VA,Roanoke County
12.8,VA,Rockbridge County
11.0,VA,Rockingham County
21.2,VA,Russell County
19.2,VA,Scott County
11.5,VA,Shenandoah County
18.1,VA,Smyth County
15.2,VA,Southampton County
7.7,VA,Spotsylvania County
5.4,VA,Stafford County
13.0,VA,Surry County
22.1,VA,Sussex County
17.2,VA,Tazewell County
10.8,VA,Warren County
16.3,VA,Washington County
14.1,VA,Westmoreland County
22.7,VA,Wise County
14.4,VA,Wythe County
5.3,VA,York County
9.1,VA,Alexandria city
19.3,VA,Bristol city
17.3,VA,Buena Vista city
20.7,VA,Charlottesville city
9.7,VA,Chesapeake city
10.6,VA,Colonial Heights city
18.3,VA,Covington city
23.5,VA,Danville city
22.5,VA,Emporia city
7.3,VA,Fairfax city
3.4,VA,Falls Church city
19.4,VA,Franklin city
15.9,VA,Fredericksburg city
24.2,VA,Galax city
15.2,VA,Hampton city
30.9,VA,Harrisonburg city
20.6,VA,Hopewell city
22.9,VA,Lexington city
23.1,VA,Lynchburg city
9.6,VA,Manassas city
7.7,VA,Manassas Park city
23.7,VA,Martinsville city
16.8,VA,Newport News city
21.5,VA,Norfolk city
23.7,VA,Norton city
28.4,VA,Petersburg city
5.4,VA,Poquoson city
18.6,VA,Portsmouth city
32.8,VA,Radford city
24.4,VA,Richmond city
21.3,VA,Roanoke city
10.2,VA,Salem city
15.2,VA,Staunton city
13.1,VA,Suffolk city
8.2,VA,Virginia Beach city
16.0,VA,Waynesboro city
22.0,VA,Williamsburg city
17.8,VA,Winchester city
12.2,WA,Washington
16.5,WA,Adams County
15.7,WA,Asotin County
14.2,WA,Benton County
12.7,WA,Chelan County
15.6,WA,Clallam County
10.6,WA,Clark County
15.2,WA,Columbia County
15.7,WA,Cowlitz County
13.5,WA,Douglas County
20.4,WA,Ferry County
15.6,WA,Franklin County
15.2,WA,Garfield County
16.1,WA,Grant County
16.0,WA,Grays Harbor County
8.4,WA,Island County
11.9,WA,Jefferson County
9.8,WA,King County
9.9,WA,Kitsap County
20.0,WA,Kittitas County
17.2,WA,Klickitat County
15.3,WA,Lewis County
14.0,WA,Lincoln County
16.9,WA,Mason County
20.5,WA,Okanogan County
18.8,WA,Pacific County
19.6,WA,Pend Oreille County
12.4,WA,Pierce County
11.5,WA,San Juan County
14.9,WA,Skagit County
14.5,WA,Skamania County
9.3,WA,Snohomish County
15.5,WA,Spokane County
19.7,WA,Stevens County
12.2,WA,Thurston County
12.6,WA,Wahkiakum County
16.5,WA,Walla Walla County
14.4,WA,Whatcom County
20.8,WA,Whitman County
19.1,WA,Yakima County
18.0,WV,West Virginia
20.1,WV,Barbour County
12.5,WV,Berkeley County
23.4,WV,Boone County
23.7,WV,Braxton County
14.9,WV,Brooke County
20.2,WV,Cabell County
20.0,WV,Calhoun County
27.7,WV,Clay County
18.1,WV,Doddridge County
19.9,WV,Fayette County
25.8,WV,Gilmer County
15.9,WV,Grant County
19.0,WV,Greenbrier County
18.6,WV,Hampshire County
13.7,WV,Hancock County
14.4,WV,Hardy County
16.0,WV,Harrison County
15.4,WV,Jackson County
10.6,WV,Jefferson County
16.5,WV,Kanawha County
20.6,WV,Lewis County
28.3,WV,Lincoln County
22.4,WV,Logan County
34.5,WV,McDowell County
16.0,WV,Marion County
12.6,WV,Marshall County
22.3,WV,Mason County
21.1,WV,Mercer County
15.4,WV,Mineral County
29.0,WV,Mingo County
19.6,WV,Monongalia County
18.5,WV,Monroe County
14.1,WV,Morgan County
18.5,WV,Nicholas County
14.0,WV,Ohio County
16.4,WV,Pendleton County
15.4,WV,Pleasants County
18.9,WV,Pocahontas County
17.0,WV,Preston County
10.4,WV,Putnam County
19.9,WV,Raleigh County
19.8,WV,Randolph County
18.5,WV,Ritchie County
21.1,WV,Roane County
26.4,WV,Summers County
16.2,WV,Taylor County
17.1,WV,Tucker County
16.3,WV,Tyler County
17.3,WV,Upshur County
22.5,WV,Wayne County
29.6,WV,Webster County
20.0,WV,Wetzel County
17.9,WV,Wirt County
17.3,WV,Wood County
22.5,WV,Wyoming County
12.1,WI,Wisconsin
17.4,WI,Adams County
17.2,WI,Ashland County
10.5,WI,Barron County
11.1,WI,Bayfield County
11.1,WI,Brown County
10.2,WI,Buffalo County
13.1,WI,Burnett County
6.2,WI,Calumet County
10.8,WI,Chippewa County
13.9,WI,Clark County
8.9,WI,Columbia County
14.5,WI,Crawford County
11.2,WI,Dane County
8.7,WI,Dodge County
8.5,WI,Door County
14.8,WI,Douglas County
13.5,WI,Dunn County
13.6,WI,Eau Claire County
12.2,WI,Florence County
9.4,WI,Fond du Lac County
14.5,WI,Forest County
14.0,WI,Grant County
7.5,WI,Green County
12.2,WI,Green Lake County
9.5,WI,Iowa County
13.0,WI,Iron County
12.4,WI,Jackson County
9.2,WI,Jefferson County
14.5,WI,Juneau County
12.7,WI,Kenosha County
8.2,WI,Kewaunee County
14.4,WI,La Crosse County
10.5,WI,Lafayette County
14.4,WI,Langlade County
9.8,WI,Lincoln County
10.7,WI,Manitowoc County
9.5,WI,Marathon County
12.7,WI,Marinette County
12.0,WI,Marquette County
35.2,WI,Menominee County
20.3,WI,Milwaukee County
12.8,WI,Monroe County
9.7,WI,Oconto County
9.5,WI,Oneida County
9.0,WI,Outagamie County
5.2,WI,Ozaukee County
10.1,WI,Pepin County
9.8,WI,Pierce County
10.1,WI,Polk County
12.2,WI,Portage County
13.0,WI,Price County
12.4,WI,Racine County
14.2,WI,Richland County
13.9,WI,Rock County
14.0,WI,Rusk County
5.7,WI,St. Croix County
11.7,WI,Sauk County
15.5,WI,Sawyer County
11.6,WI,Shawano County
9.0,WI,Sheboygan County
12.4,WI,Taylor County
9.4,WI,Trempealeau County
14.8,WI,Vernon County
13.4,WI,Vilas County
12.4,WI,Walworth County
13.5,WI,Washburn County
5.3,WI,Washington County
4.7,WI,Waukesha County
10.7,WI,Waupaca County
11.8,WI,Waushara County
11.3,WI,Winnebago County
11.3,WI,Wood County
10.6,WY,Wyoming
20.1,WY,Albany County
12.1,WY,Big Horn County
7.5,WY,Campbell County
11.4,WY,Carbon County
8.5,WY,Converse County
7.7,WY,Crook County
12.9,WY,Fremont County
15.1,WY,Goshen County
11.9,WY,Hot Springs County
8.2,WY,Johnson County
10.6,WY,Laramie County
8.8,WY,Lincoln County
